feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
TMEM9B	2.445	1.352	1.255	0.806	2.559	1.359	1.347	1.528	1.058	1.069	1.213	1.124	1.481	0.675	1.680	1.112	1.209	0.037	1.565	1.263	1.428	1.546	1.365
GTF2A1	-0.650	-0.871	-0.488	-0.288	-0.142	0.174	-0.456	0.070	0.866	0.533	-0.294	0.139	0.142	0.601	-0.503	-0.074	-1.721	-0.866	0.330	-0.302	0.109	0.527	-0.695
PCBP3	0.013	-0.773	-0.505	1.778	-0.236	-0.670	-1.270	-0.822	2.365	-0.722	-0.205	-0.060	-0.740	0.024	-0.799	-0.599	0.808	-0.374	-0.661	-0.680	-0.853	-0.977	-0.775
LYSMD1	1.383	0.777	0.200	0.262	0.266	1.406	1.383	0.072	0.141	0.303	0.492	0.490	1.512	0.323	0.912	-0.328	-0.096	1.353	1.156	0.508	0.281	0.882	0.252
RPL7L1	-0.716	-0.713	-0.952	-0.928	-0.902	-0.797	-1.096	-0.902	-1.040	-1.185	-1.079	-1.140	-1.029	-1.386	-0.589	-0.476	-0.604	-0.609	-0.710	-0.683	-0.558	-0.722	-0.476
PRKCDBP	0.701	2.355	2.625	2.104	0.278	1.713	2.181	1.906	2.054	2.626	2.312	2.170	2.006	3.115	1.772	1.966	1.893	2.862	1.731	1.779	1.680	2.021	2.378
HRH2	0.481	1.161	1.802	0.635	0.002	1.434	1.415	1.028	0.544	0.767	1.703	1.255	1.310	1.208	0.308	0.443	0.691	1.175	1.543	0.303	0.487	0.548	0.693
ZSCAN5	-0.084	0.109	0.036	0.190	0.144	0.258	0.337	-0.078	-0.710	0.471	0.454	-0.081	0.050	0.104	-0.463	-0.145	-0.361	-0.247	0.179	0.107	-0.139	-0.071	-0.149
LMX1B	0.317	-0.165	-0.380	0.221	-0.070	-0.217	-0.126	-0.522	-0.290	-0.090	0.044	-0.520	0.012	0.156	-0.409	-0.165	0.043	0.560	-0.042	-0.403	-0.388	-0.422	-0.337
PDK4	-1.600	3.375	2.815	2.451	4.316	6.327	4.703	5.800	6.127	1.858	5.162	1.506	5.381	1.236	4.556	1.410	1.669	0.706	2.362	1.441	1.781	5.210	4.922
KIAA1754	-1.016	0.168	0.060	0.326	0.642	1.058	0.629	1.112	1.254	0.137	1.025	-0.084	0.440	0.230	0.806	0.309	0.490	-0.030	0.812	0.776	0.661	1.558	1.010
SLC6A20	4.209	-0.338	-0.211	-0.528	1.566	1.671	-0.574	-0.270	-0.513	0.959	0.377	2.212	-0.374	0.739	-0.609	3.248	1.109	2.934	-0.350	2.754	3.316	-1.058	-1.359
PMP22CD	0.373	-0.135	0.059	0.179	0.163	0.350	0.136	-0.069	-1.006	-0.347	0.073	0.215	0.457	-0.197	0.269	0.010	0.163	-0.218	-0.307	-0.651	0.609	0.096	0.086
GDF6	-4.862	-3.150	-2.232	-5.021	-1.033	-0.979	-0.797	-1.760	-2.782	-1.786	-2.058	-0.285	-0.047	-2.711	-1.285	-1.716	-2.187	-2.501	-0.054	-2.256	-2.229	0.147	-1.680
OBFC2B	0.222	0.247	0.018	-0.669	-0.909	-0.049	0.377	-0.637	-0.953	-0.218	0.019	0.019	-0.035	-0.375	-0.124	-0.158	-0.713	-0.218	-0.458	-0.208	-0.386	-0.583	-0.377
NPDC1	-0.114	0.158	0.501	0.107	-1.468	-1.103	-0.894	-0.095	-0.026	0.114	0.313	-0.328	0.278	0.144	0.936	-0.031	-0.223	-0.870	-0.435	-0.146	-1.032	-0.523	0.802
PPM1H	-0.797	-2.000	-1.810	-1.837	0.624	-1.965	-1.999	-1.968	-1.573	-1.232	-2.231	-0.756	-2.850	-1.660	-1.249	-1.055	-2.096	-1.290	-1.436	-0.389	-1.160	-1.057	-1.121
GNAI1	0.043	0.798	1.329	0.736	0.907	1.041	1.809	1.204	2.652	0.308	1.418	1.500	1.607	1.371	1.669	0.988	0.721	0.133	2.364	0.992	0.351	2.253	1.655
SMAP1L	-0.837	-0.484	0.295	0.306	-0.659	-0.366	-0.381	0.314	-0.174	0.322	0.158	-0.329	0.077	0.662	-0.113	-0.179	0.307	-1.259	-0.542	-0.288	0.649	-0.195	0.175
MRPS33	0.918	0.480	-0.222	-0.213	0.279	0.396	0.672	-0.084	0.275	0.248	0.410	0.255	0.332	0.044	-0.479	-0.062	-1.024	-0.495	0.240	0.178	-0.359	0.064	0.007
TNFAIP3	-0.204	1.608	0.883	2.456	1.843	1.284	1.530	2.029	1.060	1.343	2.846	1.050	1.309	1.647	0.604	0.764	2.118	1.344	0.694	1.221	2.146	1.464	0.914
UHRF2	-0.759	-0.454	-0.804	-0.381	-0.984	-0.443	-0.246	-0.494	-1.587	-1.371	-1.423	-1.299	-1.559	-1.449	-0.030	-0.989	-0.057	-2.251	-0.858	-0.886	-1.260	-1.080	-0.872
SLC17A6	-0.306	0.695	0.007	0.077	0.484	0.326	0.219	0.104	0.194	-0.005	0.480	-0.455	-0.009	2.236	0.774	-0.070	0.050	0.014	0.740	0.451	0.416	0.350	0.113
DBF4	-2.215	-2.327	-2.801	-2.041	-1.352	-2.958	-2.606	-2.464	-2.622	-2.849	-2.221	-2.358	-3.022	-2.530	-2.726	-2.536	-2.012	-3.100	-2.877	-2.765	-2.601	-2.696	-2.601
GRRP1	1.014	2.722	2.992	2.562	2.037	2.865	2.861	2.568	2.519	2.544	2.426	2.845	1.843	3.003	2.671	2.264	1.528	1.232	3.639	2.461	1.785	2.916	2.423
GSG1L	-0.859	-0.899	-0.644	-0.550	-0.485	-0.953	-1.327	-1.316	-0.683	-0.705	-0.857	-0.311	-1.462	-1.028	-1.143	-0.211	-0.298	-0.048	-0.890	-0.608	-0.136	-1.371	-0.855
CNTFR	-0.181	-0.042	-0.449	-0.509	-0.381	-0.368	0.877	-0.399	-0.470	-0.180	-0.247	0.281	-0.735	-0.033	-0.330	-0.178	-0.609	-0.013	-0.993	-0.453	0.294	-0.443	0.033
SLC26A2	-0.336	-0.354	-0.428	-0.651	0.447	0.076	-0.570	-0.040	0.905	-0.218	0.183	-0.344	0.205	0.128	-0.144	0.008	-0.303	0.088	0.176	-0.270	0.102	0.563	-0.081
RGS7BP	0.347	0.368	0.959	0.493	0.654	0.997	1.341	0.812	1.796	1.177	0.785	1.032	2.271	1.374	0.743	2.529	1.214	1.921	1.231	1.977	1.512	2.102	1.383
EFEMP2	-0.134	1.494	1.476	-0.181	1.325	-1.294	0.767	-0.276	2.509	1.583	1.211	1.730	1.091	1.815	0.666	0.573	1.458	0.334	1.529	1.478	0.630	1.671	1.336
MYCBP	-0.043	-0.311	-0.185	-0.697	-0.583	-1.151	-0.249	-1.018	-1.590	-1.278	-0.695	-0.235	-1.514	-1.200	-0.665	-0.771	-0.319	-0.954	-0.887	-0.922	-0.344	-1.065	-0.775
ALOX5	3.220	2.552	3.174	3.489	1.633	1.773	1.948	2.453	2.567	3.393	1.863	4.201	1.723	3.917	1.815	3.579	3.028	2.859	2.428	3.803	4.147	2.095	2.004
C22orf36	1.056	2.073	2.846	0.797	-1.216	2.361	2.097	1.662	0.804	2.124	1.425	1.477	2.098	2.558	2.203	1.873	1.088	3.170	1.906	1.659	1.916	1.807	1.893
LCTL	-2.597	-2.254	-2.088	-2.245	-2.787	-4.043	-2.079	-2.475	-2.013	-2.710	-1.657	-1.910	-2.614	-3.120	-3.754	-2.663	-1.950	-1.614	-2.527	-2.607	-2.280	-2.488	-1.901
PDK2	0.812	1.615	1.585	0.450	1.548	1.134	1.595	1.038	0.735	0.890	1.118	0.855	1.595	1.131	1.341	1.059	0.929	2.446	1.695	1.280	1.486	1.450	1.922
RPP40	-0.861	-1.587	-1.567	-1.636	-1.605	-0.920	-1.474	-2.038	-1.943	-1.643	-1.710	-1.139	-1.899	-1.955	-1.555	-2.311	-2.276	-1.900	-1.702	-1.747	-1.616	-1.247	-1.521
YPEL1	0.258	0.663	0.456	-0.352	-0.099	0.260	0.718	0.123	0.898	0.674	0.608	1.668	0.297	1.133	0.559	-0.642	-0.760	0.104	0.372	0.316	0.040	0.896	0.248
LALBA	-0.067	0.493	-0.144	0.015	0.103	0.422	0.043	-0.462	-0.035	-0.280	0.240	0.207	-0.122	0.199	-0.246	-0.406	-0.076	0.431	0.329	0.364	-0.122	-0.509	-0.569
C9orf18	3.781	3.345	3.752	-0.502	0.426	2.773	3.388	0.670	2.062	2.479	2.029	3.380	1.092	1.881	1.387	1.818	1.036	3.169	0.768	3.562	1.338	1.977	3.640
PTPLA	-0.102	-2.969	-3.915	-1.310	-2.361	-3.982	-4.116	-5.133	-2.917	-3.481	-3.248	-1.265	-4.274	-2.617	-2.960	-2.195	-2.607	-3.339	-3.977	-3.333	-3.875	-3.716	-4.346
CUEDC2	0.987	1.379	1.350	0.379	0.376	0.454	0.594	0.262	0.025	0.081	0.637	0.753	0.183	-0.103	0.439	0.008	0.059	0.340	0.822	0.322	-0.078	0.282	0.568
FTH1	1.403	0.326	0.243	0.829	-0.282	0.678	0.387	0.252	0.785	0.926	1.105	1.379	0.722	0.501	-0.183	0.152	-0.713	0.075	0.499	0.254	0.186	0.616	-0.102
BACH1	0.296	-0.391	-0.287	0.752	-0.113	0.113	-0.058	-0.093	0.392	0.022	-0.025	0.833	0.170	0.918	-0.009	0.234	0.435	-0.682	0.086	0.344	0.035	0.261	-0.338
CCDC99	-2.341	-1.763	-2.074	-1.390	-2.826	-2.173	-1.704	-1.881	-2.339	-1.935	-1.485	-2.033	-1.970	-1.705	-1.613	-1.841	-0.769	-1.691	-1.866	-2.266	-2.077	-2.450	-1.773
C5orf38	0.998	-0.706	-1.494	-1.766	-1.970	-1.664	-1.799	-2.209	1.006	-1.448	-0.936	-0.790	-1.262	-1.210	-2.017	-1.338	-0.873	-1.729	-1.956	-1.845	-2.124	-1.861	-2.112
VN1R4	-0.033	0.076	0.479	0.003	-0.023	0.482	-0.531	-0.656	0.129	-0.033	0.236	0.530	0.539	-0.283	0.414	-0.358	0.477	0.358	0.150	0.017	0.156	0.442	0.409
GCM2	-0.694	-0.448	-0.035	0.029	-0.293	-0.924	0.770	0.115	-0.180	0.210	0.441	0.183	0.378	1.104	-1.192	-0.331	0.482	1.409	0.008	-0.351	0.073	0.412	0.702
SAMD12	1.472	-0.624	0.339	-1.395	2.285	0.320	-0.026	0.559	0.308	0.319	-0.399	-0.419	0.025	0.979	-0.209	0.810	-0.659	0.156	-0.560	0.271	0.294	0.233	-0.675
KIAA1012	0.822	0.966	0.558	0.236	1.070	0.550	0.691	0.363	-0.974	0.187	0.198	0.595	0.403	-0.105	1.004	-0.102	0.011	-1.000	0.264	0.606	0.088	-0.071	0.046
CARD9	0.482	1.251	2.078	2.057	-0.628	-0.123	0.130	1.240	0.517	1.689	1.105	1.709	0.255	1.503	0.319	1.339	2.490	0.996	0.610	1.810	2.386	1.263	0.839
RBMS2	0.663	1.260	1.430	0.753	0.593	1.095	0.746	0.988	0.408	0.786	1.488	1.010	0.862	1.323	1.192	1.256	0.520	0.119	0.736	0.859	0.292	0.707	0.857
FLJ20323	-1.155	-1.029	-1.009	-0.900	0.027	-0.741	-0.953	-0.348	-0.309	-0.564	-0.712	-0.835	-0.350	-0.278	-0.641	-0.893	-0.453	-1.901	-1.039	-0.708	-1.082	-0.788	-0.200
MED20	0.104	-0.475	-0.588	-0.933	-0.249	-0.370	-0.352	-0.725	-1.156	-0.843	-0.622	-0.264	-1.297	-0.933	-0.266	-0.788	-0.568	-1.254	-0.544	-0.855	-0.937	-0.518	-0.623
TMEM185A	0.084	0.085	0.392	0.580	0.264	0.228	0.032	0.305	0.161	-0.122	0.577	0.199	0.313	0.897	0.130	0.266	0.247	0.160	0.457	0.451	0.454	0.418	0.056
C14orf156	-1.260	-1.383	-1.440	-1.594	-1.161	-0.838	-0.803	-1.176	-1.206	-1.359	-1.226	-1.101	-1.403	-1.067	-0.820	-1.497	-2.842	-1.532	-0.894	-1.271	-1.125	-1.178	-1.285
ITGA3	1.962	0.300	1.088	1.068	-0.926	-0.919	-0.512	0.071	-0.081	-0.104	0.666	0.099	0.224	1.624	-0.003	1.989	2.427	2.104	-0.354	1.911	1.788	-0.346	0.691
CLDN11	0.217	-0.243	0.040	0.235	0.109	-0.120	-0.058	-0.379	-0.589	-0.014	0.122	0.301	-0.420	-0.082	-0.112	-0.299	-0.184	0.127	-0.344	-0.339	-0.051	-0.084	-0.417
TADA2L	-0.696	-0.425	-0.799	-0.759	-0.849	-0.805	-0.671	-0.859	-1.176	-0.706	-0.785	-0.943	-0.411	-1.070	-0.465	-1.061	-0.505	-1.192	-0.690	-0.966	-1.008	-0.648	-0.810
POU4F3	-0.138	-0.141	-0.384	0.149	-0.072	-0.386	-0.438	-0.971	-0.612	-0.616	0.235	-0.599	-1.822	-1.449	0.559	-0.344	-0.385	-0.548	0.280	-0.483	-0.669	0.211	-0.771
PLA2G7	4.646	4.270	2.772	4.009	2.092	2.793	3.562	3.172	4.088	5.340	5.517	3.452	2.683	4.149	3.897	4.524	3.326	1.343	2.430	2.846	5.584	3.858	2.370
TDGF1	-3.486	-3.524	-3.635	-3.426	-0.439	-4.094	-3.187	-4.438	-3.742	-3.413	-3.242	-3.223	-3.956	-3.164	-4.113	-3.378	-4.091	-3.453	-3.757	-3.399	-4.064	-4.110	-3.912
B3GAT3	-0.100	-0.391	-0.346	-0.312	-0.295	-0.686	-0.694	-0.945	0.216	-0.596	-0.345	-0.171	-0.563	-0.212	-0.997	-0.203	-0.377	0.283	-0.255	-0.323	-0.173	-0.373	0.040
KIAA1377	1.514	0.435	1.531	2.466	-0.368	-0.315	0.421	1.476	1.524	0.348	0.791	-0.884	1.395	1.748	0.743	0.130	2.032	-0.088	1.121	1.898	-0.271	0.446	1.176
OR2F1	-0.314	0.457	0.908	-0.659	-0.537	-0.131	0.567	-0.071	0.329	0.102	0.421	0.232	-0.571	1.086	-0.187	0.500	0.767	-0.205	0.261	0.145	0.119	0.644	0.169
FAM83F	2.473	1.733	2.914	-0.810	2.793	-1.525	-1.820	-1.168	0.615	1.410	-1.010	-0.628	-0.956	-0.431	-0.312	-1.599	-0.010	0.937	2.101	-1.481	-0.203	-0.552	2.795
OR4D11	0.059	-0.080	0.092	-0.268	0.905	-0.834	-0.335	0.299	1.230	0.288	-0.180	-0.472	0.419	-0.542	-0.330	1.101	-0.492	-0.150	-1.024	0.390	-0.967	-1.068	0.278
CCDC109B	1.284	-0.885	0.440	0.285	-2.201	-1.316	-1.023	-0.414	-0.528	-0.813	0.276	0.783	-1.679	-0.031	-1.567	-0.655	0.819	-0.938	-0.748	0.426	0.400	-1.163	-0.509
LYPLA2	-0.045	-0.277	-0.015	-1.389	-0.449	-0.191	-0.158	-0.645	-1.013	-0.673	-0.010	0.130	-0.054	-1.149	-1.171	-0.263	-0.205	-0.344	-0.173	-0.880	0.136	-0.135	0.069
XPC	-0.550	-0.155	-0.280	-0.203	-0.303	-0.365	-0.497	-0.223	-0.029	-0.450	-0.648	-0.824	0.233	-0.122	-0.315	0.260	1.029	-0.196	-0.018	0.550	0.096	-0.255	0.240
FNDC8	0.293	-0.184	-0.306	0.208	-0.487	-0.787	0.292	0.192	-0.223	0.872	0.054	0.408	0.155	-0.466	-0.571	-0.329	0.227	0.195	-0.001	0.270	0.467	0.142	-0.138
LDHAL6A	-0.447	0.322	0.210	0.229	-0.086	0.344	0.240	-0.126	0.351	-1.122	0.215	0.111	-0.076	-1.868	-0.071	0.319	0.700	0.374	-0.782	-0.384	0.041	0.418	-0.071
GRIN2B	-2.123	-0.050	0.484	0.135	0.106	-0.557	1.796	0.006	0.086	1.065	0.868	0.449	-0.133	0.574	0.389	0.308	0.943	-0.564	0.499	0.477	0.755	0.354	1.190
HIPK2	0.172	1.156	2.129	1.009	2.678	2.853	2.131	3.166	2.689	2.979	2.728	1.165	2.436	2.995	2.275	3.178	1.452	4.025	2.210	2.151	3.008	3.097	3.594
PIGL	0.234	-0.312	-1.019	0.613	-0.137	-0.700	-0.759	-0.483	-0.521	-0.278	-1.175	-0.053	-0.342	-0.286	-1.216	-0.236	-1.290	-0.697	-1.314	-0.525	-0.836	-1.613	-1.159
NAT8	6.277	6.215	6.536	1.428	-2.086	5.851	5.793	6.012	2.976	6.497	6.385	6.362	5.264	5.983	5.582	5.322	4.924	5.938	6.292	5.633	5.763	5.651	5.597
SLC45A1	-1.313	0.960	1.173	0.068	0.436	0.225	0.409	0.401	1.472	-0.192	0.584	-0.524	0.405	0.005	0.859	0.928	0.649	0.502	1.379	0.780	0.281	1.872	0.942
ZSCAN4	-0.678	-0.128	0.468	1.591	-0.569	-0.225	-0.399	0.116	-1.857	0.039	-0.334	-1.001	-1.367	-0.851	0.595	-0.573	0.478	-1.424	-0.778	-0.196	-0.838	-0.625	-0.665
SAFB2	-0.950	-0.291	0.475	0.388	-0.072	0.199	-0.493	0.878	0.074	0.544	-0.061	-0.279	0.542	0.496	0.201	0.603	0.625	1.491	0.219	0.211	0.694	0.168	0.149
TBC1D4	-0.021	-0.025	0.505	-0.590	1.387	0.178	-0.168	-0.279	-0.529	-0.254	-0.323	-0.527	0.183	-0.044	0.598	-0.420	0.637	-1.127	-0.174	-0.276	-0.161	-0.652	-0.492
ANKRD34	-1.341	-1.413	-1.259	-1.538	-2.052	-1.142	-2.431	-1.723	-1.756	-2.295	-1.398	-1.546	-1.556	-2.074	-1.910	-0.996	-0.759	-1.492	-1.367	-1.577	-1.555	-1.527	-1.179
CD53	1.807	1.897	2.041	1.824	-0.038	0.635	1.420	2.120	1.646	1.827	2.276	1.636	0.444	1.720	1.398	1.808	2.949	-0.410	1.246	2.104	2.337	1.706	1.683
ADAMTS18	-0.075	1.831	0.968	1.623	1.111	1.860	1.021	1.511	1.179	1.925	0.819	0.407	1.554	3.207	2.210	1.702	1.649	-0.238	1.188	2.561	0.225	0.814	1.599
ARL4D	0.444	-0.980	-1.105	-1.516	1.524	-1.403	-1.231	-2.038	-0.301	-0.412	-0.586	-0.316	-1.793	-0.656	-1.260	-0.912	-2.065	-0.894	-0.532	-0.791	-1.516	-1.198	-1.589
ZNF214	2.075	1.831	1.812	0.915	1.555	1.719	2.241	0.628	1.842	1.181	1.061	1.396	1.947	-0.036	2.496	0.951	0.786	0.537	1.973	1.771	0.941	1.504	1.803
OR5D14	0.078	0.556	-0.220	0.221	0.752	0.566	-0.045	0.087	0.051	0.690	0.556	0.682	0.666	1.095	-0.259	0.299	0.188	0.167	0.532	0.026	-0.105	0.188	0.113
DDX46	-1.107	-0.800	-0.644	-0.738	-0.961	-0.978	-0.943	-0.354	-0.966	-0.805	-0.896	-0.964	-0.789	-1.159	-0.592	-1.032	-0.901	-1.511	-0.867	-0.486	-0.698	-0.892	-0.907
C12orf12	-0.065	-0.053	0.335	0.538	0.485	0.286	0.233	-0.054	0.584	-0.634	0.536	0.034	0.467	-0.204	0.618	-0.600	0.248	0.382	-0.540	-0.081	-0.017	-0.805	0.578
SYMPK	-1.752	-2.375	-2.220	-0.456	-0.594	-1.290	-2.016	-1.268	-1.006	-0.833	-1.101	-1.107	-1.208	-0.504	-1.401	-0.486	-0.311	0.814	-0.867	-0.264	-0.473	-0.703	-1.055
ARHGDIB	-0.202	1.128	1.468	0.332	-0.014	-0.293	0.579	0.738	0.345	0.350	0.952	0.429	-0.021	0.140	1.369	1.034	1.764	-0.463	1.079	1.031	1.137	0.999	1.215
ITGA1	-0.807	1.795	1.301	1.895	1.446	1.540	1.648	1.766	2.467	1.620	1.480	0.841	1.081	1.765	2.503	1.506	0.993	0.289	2.058	1.365	1.149	2.009	2.200
JRK	-0.618	-0.886	-0.797	-0.458	-0.259	-0.570	-0.958	-0.529	-0.507	-0.482	-0.426	-0.371	-0.486	-0.239	-0.221	-0.863	-0.351	-0.750	-0.580	-0.679	-0.511	-0.339	-0.691
ZNF486	-0.026	-0.456	-0.338	0.387	0.708	-0.262	-0.152	-0.470	0.367	0.726	-0.705	-0.096	-0.063	-0.573	0.162	0.458	-0.073	-0.159	0.105	-0.509	0.287	-0.314	0.364
PGBD1	-0.964	-1.414	-0.318	-0.848	0.977	-1.511	-0.901	-0.799	-2.118	-0.843	-0.549	-1.093	-1.477	-0.569	-0.667	-1.788	-1.294	-2.108	-0.427	-0.456	-1.002	-1.012	-1.845
KIF5A	-1.317	-1.278	-0.702	-1.361	-1.761	-0.704	-0.972	-1.122	-0.999	-1.435	-0.718	-0.725	-1.131	-1.486	-0.892	-1.310	-0.907	-0.508	-0.765	-1.695	-1.072	-1.331	-0.897
ARSG	-0.030	-0.548	-0.004	-0.088	0.248	-1.211	-0.775	-1.361	-0.914	-0.599	-0.808	-0.753	-0.617	-0.153	-0.762	0.036	-0.457	-0.724	-0.674	-0.389	-0.346	-0.895	-0.255
KLF11	1.216	1.892	2.048	1.094	1.252	2.267	1.911	1.272	1.358	2.054	2.328	2.243	2.075	1.464	2.080	1.624	0.903	1.018	1.942	2.249	1.330	1.930	1.561
CDH16	5.717	5.485	5.503	4.930	5.238	5.439	5.601	4.888	4.425	5.579	5.757	6.085	5.165	5.856	4.805	5.245	4.524	5.880	5.729	5.128	5.566	5.141	4.995
C7orf28B	-0.515	-0.235	-0.436	-0.541	0.179	-0.361	-0.337	0.146	0.187	-0.189	-0.455	-0.330	0.107	-0.523	0.071	-0.011	0.189	-0.352	-0.795	0.221	-0.405	-0.174	-0.123
EIF3F	-0.168	0.166	-0.333	-0.211	-0.093	-0.495	-0.393	-1.131	-0.525	-0.670	-0.316	0.119	0.175	-0.781	-0.492	-0.416	-1.000	-0.993	-0.103	-0.375	-0.677	-0.590	-0.566
TRIP11	-1.188	-1.063	-0.859	-0.917	-0.298	-0.500	-0.546	-0.184	-0.184	-0.645	-0.807	-1.165	-0.600	-0.417	0.022	-0.439	-0.413	-1.206	-0.335	-0.589	-0.627	-0.410	-0.534
CXCL5	0.651	0.956	0.244	0.166	0.528	0.543	0.294	0.714	0.998	2.503	0.521	0.337	0.256	-0.214	0.642	0.270	0.929	0.393	0.330	1.105	0.688	1.469	1.246
BAIAP2	-0.665	-0.611	-0.173	0.376	-0.787	-0.090	-0.648	0.310	-0.701	-0.494	0.112	-0.700	0.884	0.235	-0.603	-0.234	0.009	-0.064	-0.405	-0.183	-0.159	-0.290	-0.005
CD63	2.147	0.956	1.068	1.349	1.504	1.414	1.252	0.924	1.498	1.130	1.512	1.727	1.295	1.428	1.177	1.707	0.818	1.410	1.563	1.335	1.614	1.572	1.386
SAMD5	3.626	2.442	1.886	0.116	1.704	3.435	3.522	1.755	1.199	2.332	2.434	2.194	3.271	1.506	1.546	2.047	0.564	2.245	2.452	2.104	1.884	2.569	2.898
TJP2	-0.613	-0.294	0.175	0.256	-0.425	-0.172	-0.365	0.282	-0.632	-0.390	-0.735	-0.625	-0.166	-0.820	0.210	0.195	0.458	-0.427	-0.068	0.411	0.018	0.012	0.136
GPS1	0.123	-0.006	0.049	-0.297	-0.214	-0.577	-0.731	-1.135	-0.704	-0.443	-0.115	-0.275	-0.091	-0.118	-1.113	-0.266	-0.173	-0.181	0.091	0.101	-0.559	-0.373	-0.331
SLC13A1	6.145	7.521	5.180	1.874	0.434	7.529	7.859	6.722	1.287	4.098	4.888	5.771	5.925	2.502	6.060	7.550	4.784	7.026	5.317	7.368	8.356	5.871	5.315
LOC653391	-1.355	-0.958	-0.709	0.420	-0.825	-0.161	-0.745	-0.342	0.109	-0.350	-0.803	-0.586	-0.280	-0.469	-0.227	0.145	-0.944	-0.421	-0.575	-0.770	-0.223	-1.164	-0.991
LOC402164	0.574	0.290	0.049	0.207	0.231	0.226	-0.161	0.406	0.184	0.335	0.577	0.307	0.119	0.422	-0.181	0.069	1.804	2.343	-0.062	-0.155	1.278	0.291	0.624
ABCD4	-0.017	0.904	0.551	0.735	-0.505	1.850	1.368	1.363	0.463	0.968	0.911	0.295	1.099	1.058	0.826	0.698	0.556	1.147	0.534	0.298	0.588	0.703	0.951
GLULD1	-1.728	-0.253	1.525	-1.208	-2.359	0.444	-1.484	-1.383	-1.921	-0.764	-0.866	2.120	-1.129	-3.201	-1.613	1.484	-0.304	0.383	2.392	0.447	0.836	1.065	-0.674
SLC9A10	0.857	-0.566	1.085	-0.143	-1.015	1.098	-0.044	-1.962	-1.383	-0.581	0.991	0.373	0.484	-2.404	0.856	0.544	-0.458	0.554	0.832	0.698	1.230	0.969	-1.041
RP5-1103G7.6	1.032	1.232	0.272	0.269	0.905	0.774	1.675	0.733	-0.159	0.556	1.005	1.855	0.521	-0.794	-0.387	-1.461	-1.265	-0.385	0.202	-0.272	-0.227	-0.225	-0.039
MGAT4C	-1.490	-1.597	-2.202	-2.132	-1.067	-2.038	-1.549	-2.105	-3.062	-2.457	-1.611	-1.541	-2.595	-2.287	-1.274	-2.698	-1.964	-1.194	-2.056	-2.042	-1.822	-0.891	-1.884
CHURC1	1.182	0.226	-0.687	-0.667	-0.709	0.187	0.860	0.709	0.446	-0.317	0.060	0.972	0.077	0.285	0.534	0.668	0.717	-1.262	0.444	0.168	-0.442	0.174	-0.398
RCC2	-2.716	-2.019	-1.500	-1.038	-2.457	-1.705	-2.252	-1.347	-0.774	-0.866	-1.586	-1.333	-1.664	-0.417	-1.496	-0.725	-1.122	-0.649	-1.269	-0.985	-0.682	-0.984	-0.896
MAN2A1	-0.617	0.392	-0.207	0.037	2.633	0.681	0.624	0.713	1.063	-0.158	0.954	-0.417	0.009	-0.319	-0.474	0.387	0.466	-0.256	0.548	0.441	0.529	0.605	1.196
RNF34	-0.557	-0.162	-0.749	-0.725	-0.111	-0.473	-0.578	-0.529	-0.843	-0.746	-0.131	-0.322	-0.349	-1.058	-0.204	-0.247	0.714	-0.821	0.018	-0.567	-0.238	-0.119	-0.068
GPR101	0.256	-0.246	-0.071	0.217	-0.207	0.504	0.654	0.068	0.121	0.670	-0.069	0.417	-0.118	0.551	0.444	0.157	0.059	0.348	0.045	0.348	0.478	-0.517	0.356
CNTD1	0.859	-0.341	-0.473	-0.591	0.379	-0.780	-0.081	-0.690	-0.536	-0.706	-0.482	0.114	-0.203	-0.925	-0.361	-0.409	-0.836	-0.243	-0.883	0.535	-0.604	-0.650	-0.134
RRAGC	-0.048	0.421	0.716	0.770	0.205	1.093	0.633	0.689	0.482	0.759	0.620	0.571	1.048	0.912	1.183	0.842	1.032	0.490	0.974	0.695	0.910	1.035	0.870
MED24	-0.947	-0.623	-0.473	-0.554	-0.781	-0.910	-1.066	-1.105	-0.546	-0.795	-0.741	-0.875	-0.811	-0.506	-1.013	-0.240	0.099	0.480	-0.491	-0.390	-0.547	-0.562	-0.074
PCDHA9	1.579	0.539	-0.787	1.328	1.089	0.703	0.193	-0.368	2.184	0.137	0.324	0.645	0.335	-0.980	0.581	0.240	1.115	2.062	-0.400	-0.417	-1.024	0.753	0.982
LOC388610	-1.031	-2.520	-2.907	-1.030	0.497	-3.269	-2.713	-3.606	0.159	-2.621	-1.945	-1.236	-3.607	-1.916	-1.861	-0.711	0.325	-2.150	-2.819	-2.132	-1.900	-2.932	-2.979
PGM2L1	0.366	0.115	0.175	1.098	0.391	0.752	0.985	0.519	1.661	0.435	0.965	0.374	0.648	1.204	1.308	0.945	0.275	0.530	1.382	0.409	0.619	1.091	0.545
POLL	0.836	1.016	0.795	0.369	0.584	0.800	1.085	0.236	0.333	0.466	0.715	0.852	0.387	-0.347	-0.013	0.201	0.175	0.622	1.032	0.302	0.331	0.493	-0.080
